Air pollution,Country,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Homicide rate,Household net adjusted disposable income,Household net financial wealth,Housing expenditure,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rating,Rooms per person,Self-reported health,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
18.0,Portugal,0.9,35.0,9.31,62.0,0.9,18806.0,29640.0,18.0,80.8,5.2,7.62,23419.0,85.0,5.102,1.6,50.0,488.0,14.95,58.0,87.0,17.8
18.0,Portugal,0.9,38.0,9.62,61.0,1.1,20086.0,31245.0,19.0,80.5,5.1,9.11,23688.0,86.0,5.102,1.6,46.0,488.0,14.95,58.0,86.0,17.6
10.0,Portugal,1.0,43.0,9.77,63.0,0.9,19882.0,29563.0,19.0,80.8,5.1,8.28,23977.0,85.0,5.123,1.7,46.0,488.0,14.72,56.0,89.0,17.4
10.0,Portugal,1.0,47.0,8.2,65.0,1.0,20519.0,31877.0,21.0,81.2,5.2,6.14,24529.0,87.0,5.19500017166138,1.7,46.0,497.0,14.89,56.0,87.0,17.1
8.3,Portugal,0.9,55.0,5.6,69.0,0.7,24877.0,255303.0,19.6,81.8,5.8,2.3,28410.0,87.0,5.41,1.7,50.0,492.0,14.93,49.0,89.0,17.0
10.0,Sweden,0.0,87.0,1.14,74.0,1.0,27546.0,55301.0,21.0,81.9,7.4,1.4,38789.0,91.0,7.364,1.7,80.0,484.0,15.11,85.0,97.0,19.2
10.0,Sweden,0.0,88.0,1.13,74.0,0.7,29185.0,60328.0,20.0,81.8,7.2,1.37,40818.0,92.0,7.364,1.7,81.0,482.0,15.11,86.0,95.0,19.3
7.0,Sweden,0.0,82.0,1.1,75.0,0.8,28859.0,69899.0,20.0,82.0,7.3,1.33,40994.0,92.0,7.291,1.8,81.0,482.0,15.18,86.0,95.0,19.1
6.0,Sweden,0.0,83.0,1.11,76.0,1.0,30553.0,90708.0,20.0,82.3,7.3,1.17,42816.0,92.0,7.28399991989136,1.8,80.0,496.0,15.18,86.0,95.0,19.2
5.8,Sweden,0.0,84.0,0.9,75.0,1.1,33730.0,73645.0,20.1,83.2,7.3,1.0,47020.0,94.0,7.314,1.7,76.0,503.0,15.156666666666666,87.0,97.0,20.0
21.0,Israel,3.8,83.0,18.77,67.0,2.2,20434.0,55932.0,21.0,81.8,7.1,0.91,27577.0,89.0,7.278,1.1,82.0,474.0,14.48,68.0,66.0,15.7
21.0,Israel,3.7,85.0,16.03,67.0,2.3,22104.0,52933.0,21.0,81.8,7.4,0.79,28817.0,87.0,7.278,1.2,80.0,474.0,14.48,68.0,68.0,15.8
26.0,Israel,4.4,85.0,14.74,68.0,1.8,22116.0,50051.0,21.0,82.1,7.1,0.63,29635.0,86.0,7.267,1.2,80.0,474.0,13.94,72.0,65.0,15.9
21.0,Israel,4.4,87.0,15.04,69.0,1.7,24036.0,61805.0,20.0,82.1,7.2,0.46,34023.0,87.0,7.21299982070923,1.2,84.0,472.0,13.93,72.0,67.0,15.8
19.7,Israel,4.166666666666667,88.0,14.1,67.0,1.5,22752.0,54929.666666666664,20.666666666666668,82.9,7.2,0.2,39322.0,95.0,6.814,1.2,74.0,465.0,14.116666666666665,67.0,77.0,16.0
11.0,New Zealand,0.2,74.0,13.07,72.0,1.9,21773.0,7480.0,25.0,81.2,7.3,0.91,31394.0,96.0,7.286,2.3,89.0,511.0,14.87,74.0,89.0,18.1
11.0,New Zealand,0.2,74.0,13.87,73.0,1.2,23815.0,28290.0,23.0,81.5,7.3,0.75,35609.0,94.0,7.286,2.4,90.0,509.0,14.87,77.0,89.0,18.1
9.0,New Zealand,0.3,74.0,13.78,74.0,1.2,23213.0,81271.0,23.0,81.4,7.4,0.78,45183.0,99.0,7.334,2.4,90.0,509.0,14.87,77.0,92.0,18.0
5.0,New Zealand,0.3,77.0,15.02,76.0,1.3,24366.0,52718.0,26.0,81.7,7.3,0.72,39397.0,95.0,7.31400012969971,2.4,88.0,506.0,14.87,77.0,90.0,17.8
6.0,New Zealand,0.26666666666666666,81.0,14.0,77.0,1.3,39024.0,514162.0,19.7,82.1,7.3,0.4,45269.0,95.0,7.324,2.4,86.0,503.0,14.87,82.0,85.0,18.0
15.0,Hungary,4.8,82.0,2.92,57.0,1.5,15240.0,13652.0,21.0,75.0,4.9,5.05,20514.0,87.0,4.8,1.0,56.0,486.0,15.04,64.0,77.0,17.5
15.0,Hungary,4.8,82.0,3.19,58.0,1.3,15442.0,13277.0,20.0,75.2,4.9,5.1,20948.0,87.0,4.8,1.1,57.0,487.0,15.04,62.0,77.0,17.6
16.0,Hungary,5.3,83.0,3.76,62.0,1.2,15614.0,17774.0,20.0,75.7,5.3,3.78,21399.0,82.0,5.145,1.1,57.0,487.0,15.04,62.0,76.0,17.2
19.0,Hungary,4.3,83.0,3.05,67.0,1.2,16821.0,23289.0,18.0,75.7,5.3,2.42,21711.0,84.0,5.32399988174438,1.2,56.0,474.0,15.06,62.0,76.0,16.6
16.7,Hungary,3.5,86.0,1.5,70.0,0.9,21026.0,150296.0,19.9,76.4,6.0,1.2,25409.0,94.0,5.62,1.4,58.0,479.0,15.08,70.0,81.0,16.0
27.0,Austria,1.0,82.0,8.61,73.0,0.5,29256.0,48125.0,21.0,81.1,7.5,1.07,43837.0,95.0,7.2,1.6,69.0,498.0,14.46,75.0,95.0,16.9
27.0,Austria,1.0,83.0,7.61,72.0,0.4,31173.0,49887.0,21.0,81.0,6.9,1.19,45199.0,89.0,7.2,1.6,69.0,500.0,14.46,75.0,94.0,17.0
15.0,Austria,1.0,84.0,7.32,71.0,0.4,31667.0,55623.0,21.0,81.2,7.1,1.53,45988.0,93.0,7.119,1.6,69.0,500.0,14.55,75.0,93.0,17.1
16.0,Austria,1.0,85.0,6.78,72.0,0.4,32544.0,59574.0,21.0,81.3,7.0,1.94,48295.0,92.0,7.00600004196167,1.6,70.0,492.0,14.55,75.0,93.0,17.1
12.2,Austria,0.8,86.0,5.3,72.0,0.5,37001.0,309637.0,20.8,82.0,7.2,1.3,53132.0,92.0,7.139,1.6,71.0,491.0,14.51,76.0,92.0,17.0
12.0,Luxembourg,0.7,77.0,3.18,66.0,2.1,35635.0,57159.0,23.0,81.1,7.1,1.56,52542.0,88.0,6.946,2.0,73.0,487.0,15.12,91.0,81.0,14.1
12.0,Luxembourg,0.1,78.0,3.47,66.0,0.4,38951.0,61765.0,21.0,81.5,6.9,1.78,56021.0,87.0,6.946,2.0,72.0,490.0,15.12,91.0,86.0,15.1
15.0,Luxembourg,0.1,82.0,3.27,67.0,0.2,40914.0,64500.0,21.0,81.9,6.7,1.6,61511.0,93.0,6.871,2.0,72.0,490.0,15.17,91.0,85.0,15.1
12.0,Luxembourg,0.0,79.0,3.76,66.0,0.6,41317.0,74141.0,20.0,82.4,6.9,1.9,62636.0,92.0,6.86299991607666,2.0,70.0,483.0,15.15,91.0,85.0,15.1
10.0,Luxembourg,0.1,74.0,2.8,67.0,0.2,44773.0,941162.0,20.7,82.7,7.4,1.7,65854.0,91.0,6.91,2.0,72.0,477.0,15.146666666666667,90.0,85.0,15.0
18.0,United States,0.1,89.0,11.44,67.0,5.2,39531.0,132822.0,19.0,78.7,7.0,2.36,54214.0,90.0,7.119,2.3,90.0,494.0,14.27,67.0,87.0,17.1
18.0,United States,0.1,89.0,11.3,67.0,5.2,41355.0,145769.0,18.0,78.7,7.2,1.91,56340.0,90.0,7.119,2.4,88.0,492.0,14.27,68.0,85.0,17.2
11.0,United States,0.1,90.0,11.69,68.0,5.2,41071.0,163268.0,19.0,78.8,6.9,1.42,57139.0,90.0,7.104,2.4,88.0,492.0,14.47,67.0,84.0,17.1
10.0,United States,0.1,90.0,11.45,69.0,4.9,44049.0,176076.0,18.0,78.8,6.9,0.65,60154.0,90.0,6.99300003051758,2.4,88.0,488.0,14.44,68.0,84.0,17.1
7.7,United States,0.1,92.0,10.4,67.0,6.0,51147.0,684500.0,18.3,78.9,7.0,0.5,69392.0,94.0,6.886,2.4,88.0,495.0,14.57,65.0,88.0,17.0
21.0,Italy,0.5,56.0,3.7,58.0,0.7,24724.0,54147.0,23.0,82.7,6.0,5.67,33571.0,91.0,5.948,1.4,65.0,489.0,14.98,75.0,80.0,17.0
21.0,Italy,1.1,57.0,3.66,56.0,0.7,25166.0,54987.0,24.0,82.3,6.0,6.94,34561.0,90.0,5.948,1.4,66.0,490.0,14.98,75.0,71.0,16.8
18.0,Italy,0.8,59.0,3.83,57.0,0.8,25004.0,56833.0,24.0,82.8,5.8,7.79,34744.0,91.0,5.977,1.4,66.0,490.0,14.89,75.0,70.0,16.8
18.0,Italy,0.6,60.0,3.9,57.0,0.8,26063.0,64019.0,23.0,82.6,5.9,6.82,35397.0,91.0,5.96400022506714,1.4,66.0,485.0,14.89,75.0,71.0,16.4
15.9,Italy,0.6,63.0,3.3,58.0,0.5,29431.0,295020.0,22.5,83.6,6.5,4.8,37769.0,89.0,6.0,1.4,73.0,477.0,16.47,73.0,77.0,17.0
15.0,Canada,0.2,89.0,3.98,72.0,1.7,30212.0,63261.0,22.0,81.0,7.6,0.9,44017.0,94.0,7.427,2.5,88.0,522.0,14.25,61.0,90.0,17.0
15.0,Canada,0.2,89.0,3.94,72.0,1.5,29365.0,67913.0,21.0,81.5,7.3,0.9,46911.0,92.0,7.427,2.5,89.0,522.0,14.25,61.0,91.0,17.2
12.0,Canada,0.2,90.0,3.83,72.0,1.5,30474.0,75775.0,21.0,81.5,7.4,0.89,48164.0,94.0,7.404,2.5,89.0,522.0,14.41,68.0,90.0,16.3
7.0,Canada,0.2,91.0,3.73,73.0,1.4,29850.0,85758.0,22.0,81.5,7.3,0.81,48403.0,93.0,7.31599998474121,2.5,88.0,523.0,14.41,68.0,91.0,16.7
7.1,Canada,0.2,92.0,3.3,70.0,1.2,34421.0,478240.0,22.9,82.1,7.0,0.5,55342.0,93.0,7.328,2.6,89.0,517.0,14.57,68.0,90.0,17.0
35.0,Turkey,12.7,32.0,43.29,49.0,3.3,13794.0,3317.0,21.0,74.6,4.9,2.29,17460.0,79.0,5.332,1.1,67.0,462.0,13.42,88.0,60.0,16.0
35.0,Turkey,12.7,34.0,40.86,50.0,1.2,14095.0,3251.0,21.0,74.6,5.6,2.37,16919.0,86.0,5.332,1.1,68.0,462.0,13.42,88.0,62.0,16.4
17.0,Turkey,7.6,36.0,39.26,50.0,1.7,13471.0,3886.0,21.0,76.6,5.5,2.04,15992.0,84.0,5.389,1.1,68.0,462.0,12.24,85.0,63.0,16.9
20.0,Turkey,6.5,39.0,33.77,51.0,1.7,17067.0,4429.0,20.0,78.0,5.5,2.24,22848.0,86.0,5.5,1.0,66.0,425.0,12.59,85.0,63.0,17.9
27.1,Turkey,4.9,42.0,25.0,48.0,1.0,13786.666666666666,3484.6666666666665,18.9,78.6,4.9,3.3,16790.333333333332,85.0,5.483,1.0,67.0,462.0,14.61,86.0,62.0,19.0
16.0,Germany,0.9,86.0,5.6,73.0,0.5,30721.0,49484.0,21.0,80.8,7.0,2.52,41782.0,93.0,6.75,1.8,65.0,514.0,15.31,72.0,94.0,18.1
16.0,Germany,0.1,86.0,5.25,73.0,0.5,31252.0,50394.0,21.0,81.0,7.0,2.37,43682.0,94.0,6.75,1.8,65.0,515.0,15.31,72.0,95.0,18.2
15.0,Germany,0.0,87.0,4.96,74.0,0.5,31925.0,49822.0,22.0,80.9,7.0,2.21,43872.0,92.0,6.994,1.8,65.0,515.0,15.55,72.0,94.0,18.1
14.0,Germany,0.1,86.0,4.6,75.0,0.4,33652.0,57358.0,20.0,80.7,7.0,1.68,46389.0,92.0,6.95100021362305,1.8,65.0,508.0,15.55,72.0,93.0,18.3
12.0,Germany,0.1,86.0,3.9,77.0,0.4,38971.0,304317.0,20.0,81.4,7.3,1.2,53745.0,90.0,6.965,1.8,66.0,500.0,15.62,76.0,91.0,18.0
46.0,Chile,9.4,72.0,15.42,62.0,5.2,13762.0,18141.0,19.0,78.3,6.6,2.01,15438.0,85.0,6.67,1.3,59.0,439.0,14.41,88.0,79.0,16.4
46.0,Chile,9.4,57.0,15.42,62.0,4.4,14533.0,17733.0,18.0,78.9,6.7,1.59,22101.0,86.0,6.67,1.2,59.0,436.0,14.41,49.0,73.0,16.5
18.0,Chile,9.4,61.0,13.84,62.0,3.8,15094.0,18172.0,18.0,78.8,6.5,1.67,21370.0,82.0,6.705,1.2,59.0,436.0,14.91,49.0,71.0,17.1
16.0,Chile,9.4,65.0,10.06,62.0,4.5,16588.0,21409.0,18.0,79.1,6.7,2.02,28434.0,84.0,6.65199995040894,1.9,57.0,443.0,14.9,49.0,69.0,17.3
23.4,Chile,9.4,67.0,7.7,56.0,2.4,15405.0,135787.0,18.4,80.6,6.2,1.76,26729.0,88.0,6.476,1.9,60.0,438.0,14.74,47.0,62.0,17.0
30.0,Korea,4.2,81.0,27.13,64.0,1.1,18035.0,28290.0,16.0,81.1,6.0,0.01,34056.0,77.0,5.984,1.4,37.0,537.0,14.63,76.0,78.0,17.5
30.0,Korea,4.2,82.0,18.72,64.0,1.1,19510.0,29091.0,16.0,81.3,5.8,0.01,36354.0,72.0,5.984,1.4,35.0,542.0,14.63,76.0,78.0,17.5
29.0,Korea,4.2,85.0,23.12,65.0,1.1,19372.0,30852.0,16.0,81.8,5.8,0.01,36653.0,76.0,5.835,1.4,35.0,542.0,14.7,76.0,78.0,17.5
28.0,Korea,4.2,87.0,20.84,66.0,1.1,21723.0,33495.0,15.0,82.1,5.9,0.03,32399.0,76.0,5.83799982070923,1.4,33.0,519.0,14.7,77.0,78.0,17.4
27.3,Korea,2.5,89.0,20.893333333333334,66.0,0.8,24590.0,362340.0,14.7,83.3,5.8,0.0,41960.0,80.0,5.875,1.5,34.0,520.0,14.83,77.0,82.0,17.0
16.0,Norway,0.3,82.0,3.1,76.0,2.3,32093.0,8365.0,17.0,81.4,7.7,0.28,46618.0,93.0,7.522,2.0,73.0,498.0,15.56,78.0,96.0,17.9
16.0,Norway,0.3,82.0,2.82,75.0,0.6,33492.0,8797.0,17.0,81.5,7.4,0.32,50282.0,94.0,7.522,2.0,76.0,496.0,15.56,78.0,94.0,17.9
6.0,Norway,0.0,82.0,3.05,75.0,1.0,33393.0,16930.0,18.0,81.8,7.6,0.41,51718.0,93.0,7.498,2.0,76.0,496.0,15.56,78.0,97.0,18.0
5.0,Norway,0.0,82.0,3.17,74.0,0.6,35739.0,20347.0,17.0,82.4,7.5,0.59,53643.0,94.0,7.53700017929077,2.1,78.0,504.0,15.56,78.0,96.0,18.1
6.7,Norway,0.0,82.0,1.4,75.0,0.6,39144.0,268358.0,17.7,83.0,7.3,0.9,55780.0,96.0,7.594,2.1,75.0,497.0,15.67,78.0,98.0,18.0
26.0,Slovenia,0.4,84.0,5.72,64.0,0.4,19692.0,18912.0,20.0,80.1,6.0,4.23,33040.0,93.0,5.848,1.4,61.0,497.0,14.62,66.0,90.0,18.3
26.0,Slovenia,0.5,85.0,5.63,63.0,0.4,19326.0,18465.0,20.0,80.2,5.7,5.15,32037.0,90.0,5.848,1.5,65.0,499.0,14.62,52.0,88.0,18.4
14.0,Slovenia,0.6,86.0,5.5,64.0,0.4,19130.0,17271.0,19.0,80.4,5.7,5.27,33068.0,89.0,5.768,1.5,65.0,499.0,14.75,52.0,91.0,18.3
16.0,Slovenia,0.3,87.0,4.46,66.0,0.6,20505.0,20048.0,18.0,80.9,5.8,4.26,34965.0,91.0,5.75799989700317,1.5,65.0,509.0,14.75,52.0,89.0,18.1
17.0,Slovenia,0.2,90.0,5.6,71.0,0.4,25250.0,233286.0,18.2,81.6,6.5,1.9,41445.0,95.0,5.948,1.6,67.0,504.0,14.663333333333332,53.0,93.0,18.0
20.0,Switzerland,0.1,86.0,7.3,79.0,0.5,30745.0,100812.0,23.0,82.8,7.8,1.48,52307.0,94.0,7.587,1.9,81.0,515.0,14.98,49.0,95.0,17.1
20.0,Switzerland,0.0,86.0,6.72,80.0,0.5,33491.0,108823.0,22.0,82.8,7.5,1.46,54236.0,96.0,7.587,1.8,81.0,518.0,14.98,49.0,96.0,17.3
17.0,Switzerland,0.0,88.0,6.34,80.0,0.5,35952.0,120265.0,22.0,82.9,7.6,1.71,57082.0,93.0,7.509,1.8,81.0,518.0,15.01,48.0,97.0,17.4
15.0,Switzerland,0.0,87.0,6.91,80.0,0.5,36378.0,128415.0,21.0,83.0,7.5,1.94,60124.0,94.0,7.49399995803833,1.9,80.0,506.0,15.02,49.0,96.0,17.5
10.1,Switzerland,0.0,89.0,0.4,80.0,0.3,39697.0,119167.66666666667,21.4,84.0,7.5,1.7,64824.0,94.0,7.487,1.9,81.0,498.0,15.003333333333336,45.0,96.0,17.0
13.0,Australia,1.1,74.0,14.23,72.0,0.8,31197.0,38482.0,20.0,82.0,7.4,1.06,46585.0,93.0,7.284,2.3,85.0,514.0,14.41,93.0,93.0,18.8
13.0,Australia,1.1,76.0,14.02,72.0,0.8,31588.0,47657.0,20.0,82.1,7.3,1.08,50449.0,92.0,7.284,2.3,85.0,512.0,14.41,93.0,91.0,19.4
6.0,Australia,1.1,77.0,13.39,72.0,0.8,33138.0,48836.0,20.0,82.2,7.3,1.32,51148.0,95.0,7.313,2.3,85.0,512.0,14.35,93.0,94.0,19.2
